Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.500000,-87.462500,-90.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.337500,-78.800000,0.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.600000,-81.800000,0.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.800000,-99.600000,180.000000,top
"D1","SMCJ36CA","SMCJ36CA",101.230000,-72.800000,0.000000,top
"D2","LED","LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder",129.500000,-84.987500,90.000000,top
"D3","LED","LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder",129.500000,-114.012500,90.000000,top
"D4","LED","LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder",129.500000,-94.987500,90.000000,top
"D5","LED","LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder",129.500000,-105.000000,90.000000,top
"Q1","CSD19537Q3","TRANS_CSD19537Q3",102.375000,-78.165000,90.000000,top
"Q2","BSS138","BSS138",94.560000,-82.500000,180.000000,top
"R1","887kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",94.500000,-86.500000,0.000000,top
"R2","29.4 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.500000,-86.500000,0.000000,top
"R3","34kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.500000,-86.500000,0.000000,top
"R4","29.4 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.900000,-82.200000,0.000000,top
"R5","29.4 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.120000,-112.525000,0.000000,top
"R6","29.4 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.000000,-102.012500,0.000000,top
"R7","29.4 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.000000,-96.000000,0.000000,top
"RILIM1","3.33kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.000000,-87.500000,90.000000,top
"RILIM2","3.33kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.400000,-99.000000,90.000000,top
"RILIM3","3.33kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.200000,-109.400000,90.000000,top
"RILIM4","3.33kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.500000,-116.300000,-90.000000,top
"RIMON1","2.46kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.500000,-87.500000,-90.000000,top
"U1","TPS26630RGE","QFN50P400X400X100-25N",109.000000,-80.500000,0.000000,top
"U2","TPS26630RGE","QFN50P400X400X100-25N",108.687500,-93.150000,0.000000,top
"U3","TPS26630RGE","QFN50P400X400X100-25N",108.587500,-103.762500,0.000000,top
"U4","TPS26630RGE","QFN50P400X400X100-25N",108.587500,-114.250000,0.000000,top
