"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"SolderWire-1.5sqmm_1x03_P7.8mm_D1.7mm_OD3.9mm";1;"Conn_01x03_Pin";;;
2;"R2,R5,R6,R7,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"29.4 kΩ";;;
3;"D2,D3,D4,D5";"LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder";4;"LED";;;
4;"RILIM1,RILIM4,RILIM2,RILIM3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"3.33kΩ";;;
5;"Q1";"TRANS_CSD19537Q3";1;"CSD19537Q3";;;
6;"RIMON1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.46kΩ";;;
7;"C1,C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"0.1uF";;;
8;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
9;"U1,U3,U4,U2";"QFN50P400X400X100-25N";4;"TPS26630RGE";;;
10;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"887kΩ";;;
11;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"34kΩ";;;
12;"D1";"SMCJ36CA";1;"SMCJ36CA";;;
13;"Q2";"BSS138";1;"BSS138";;;
